         hetero_est  error_est
101_ddr    0.008459   0.001965
101_epi    0.010971   0.007503
103_ddr    0.007670   0.002134
103_epi    0.010964   0.001641
104_ddr    0.008742   0.002082
104_epi    0.008888   0.002117
105_ddr    0.008533   0.001524
105_epi    0.008649   0.002000
106_ddr    0.007474   0.001666
106_epi    0.008835   0.001529
107_ddr    0.008795   0.002158
107_epi    0.009290   0.002224
108_ddr    0.009819   0.002146
108_epi    0.010412   0.001973
109_ddr    0.008027   0.001854
109_epi    0.007893   0.001934
110_ddr    0.009269   0.001861
110_epi    0.008636   0.002023
111_ddr    0.008148   0.002029
111_epi    0.012297   0.001820
112_ddr    0.007478   0.002671
112_epi    0.007623   0.002543
113_ddr    0.016696   0.009698
113_epi    0.009320   0.001963
114_ddr    0.007787   0.001964
114_epi    0.007989   0.001887
115_ddr    0.010524   0.002186
115_epi    0.008853   0.001850
116_ddr    0.009286   0.001797
116_epi    0.009109   0.001916
117_ddr    0.007564   0.002131
117_epi    0.005711   0.001870
118_ddr    0.006924   0.001749
118_epi    0.012595   0.001986
121_ddr    0.009474   0.002008
121_epi    0.010057   0.002076
122_ddr    0.006084   0.001790
122_epi    0.008261   0.001811
123_ddr    0.009642   0.002083
123_epi    0.012182   0.001930
124_ddr    0.009558   0.002059
124_epi    0.008270   0.001865
125_ddr    0.007355   0.002290
125_epi    0.010114   0.001699
126_ddr    0.008323   0.002271
126_epi    0.010835   0.001902
127_ddr    0.006384   0.001677
127_epi    0.008487   0.001437
128_ddr    0.009635   0.001910
128_epi    0.006432   0.001959
129_ddr    0.009362   0.002005
129_epi    0.006872   0.001871
130_ddr    0.007404   0.002177
130_epi    0.008607   0.001857
131_ddr    0.007374   0.002276
131_epi    0.007505   0.002021
