        clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
101_ddr         184632             42137              284              305         26556  5260766   32408        0.00616
101_epi           8577              2041                0               12            95    18814     187        0.00994
103_ddr         440773             70893              506              647         65719 13052403   75248        0.00577
103_epi         189009             27500              220              200         19336  3829992   31246        0.00816
104_ddr         251616             63324              438              589         45731  9055949   56682        0.00626
104_epi          74690             17913              157              145         14475  2871571   18808        0.00655
105_ddr         630469            138204              546              662         57633 11399637   68015        0.00597
105_epi         148064             28318              216              217         17519  3475198   21400        0.00616
106_ddr         636695            131723              591              673         66013 13094748   70956        0.00542
106_epi         201130             40934              298              257         21411  4244249   26669        0.00628
107_ddr          78861             27812              115              148         16394  3243420   21312        0.00657
107_epi          44798             11081               99               97         11227  2225471   15608        0.00701
108_ddr         173787             48534              257              337         26976  5332215   37926        0.00711
108_epi          39769              5336              151              196         14269  2831268   19915        0.00703
109_ddr         141396             36211              207              283         25186  4988814   29668        0.00595
109_epi         106172             19759              124              115         13237  2627306   15545        0.00592
110_ddr         293468             75942              487              550         51492 10177442   67104        0.00659
110_epi         168454             25510              164              169         16293  3233933   20909        0.00647
111_ddr         263769             56754              388              502         41320  8197830   48216        0.00588
111_epi         182240             25911              277              265         19107  3793105   35265        0.00930
112_ddr          51465             15239               79              106         10376  2057807   11913        0.00579
112_epi          33659              5586               65               72          9075  1802267   10774        0.00598
113_ddr          10712              2581                0               15           112    22025     382        0.01734
113_epi          99363             21274              195              170         15639  3102419   21041        0.00678
114_ddr         108806             33974              152              210         20112  3982869   23327        0.00586
114_epi          91468             18986              153              137         15092  2995327   17833        0.00595
115_ddr         201195             54101              207              381         20821  4125494   31491        0.00763
115_epi         215564             59735              189              384         20596  4076943   25644        0.00629
116_ddr          71448             10385              196              289         24914  4933618   29392        0.00596
116_epi          59213             11176              126              209         18193  3603243   21766        0.00604
117_ddr         223422             58882              283              390         38284  7569741   41213        0.00544
117_epi         267811             53672              211              271         29551  5845763   23879        0.00408
118_ddr         365029             74020              544              503         61847 12252252   60326        0.00492
118_epi         247209             44642              235              186         16773  3329126   31922        0.00959
121_ddr         193131             45986              404              409         49849  9894015   70779        0.00715
121_epi         164858             24988              191              176         15897  3151542   23840        0.00756
122_ddr         380263             60325              457              503         57580 11412343   49378        0.00433
122_epi         165994             22726              208              182         18420  3654228   22091        0.00605
123_ddr         319923             78897              441              609         40041  7919343   54132        0.00684
123_epi         145951             29638              197              216         15629  3101271   27702        0.00893
124_ddr         152559             48112              242              321         27717  5477363   38254        0.00698
124_epi         110185             20885              133              122         13335  2646763   16291        0.00616
125_ddr         208448             45968              320              394         44514  8836670   49162        0.00556
125_epi         198912             43275              226              184         18475  3658925   27047        0.00739
126_ddr         269654             56892              490              528         60103 11922367   74574        0.00625
126_epi         180144             40156              187              177         15775  3124818   25062        0.00802
127_ddr         299184             59852              251              328         33064  6546450   30590        0.00467
127_epi         527801             80940              409              483         50152  9903747   56462        0.00570
128_ddr         218884             44980              303              357         36464  7225955   52302        0.00724
128_epi         217469             55521              165              264         25674  5077247   24317        0.00479
129_ddr         209175             49439              283              397         41441  8220888   57595        0.00701
129_epi         396241            101693              290              478         46135  9115524   43050        0.00472
130_ddr         265671             48825              386              510         49945  9911390   54812        0.00553
130_epi         153157             31886              180              194         15625  3100324   19144        0.00617
131_ddr         303623             75975              654              806         55446 10985315   52312        0.00476
131_epi         415315             96435              857              873         57595 11416035   52633        0.00461
