         reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
101_ddr    3538396                      0                      0                1243010                4067977                   283                      3192              3534921
101_epi      13376                      0                      0                   7542                  28564                     0                       103                13273
103_ddr    5987274                      0                      0                1198149                4423300                   563                      5114              5981597
103_epi    4246864                      0                      0                1005315                6989113                   427                      3884              4242553
104_ddr    3910836                      0                      0                 862549                4622468                   385                      3268              3907183
104_epi    1311758                      0                      0                 461765                1584168                   102                      1120              1310536
105_ddr    7848465                      0                      0                1802010               11564375                   677                      6263              7841525
105_epi    2906319                      0                      0                 572634                3436301                   267                      2718              2903334
106_ddr    7888833                      0                      0                1564265                8475135                   685                      6513              7881635
106_epi    5144893                      0                      0                1869371                5612323                   435                      4779              5139679
107_ddr     784908                      0                      0                 164772                1193764                    68                       617               784223
107_epi     588020                      0                      0                 124774                 969340                    57                       675               587288
108_ddr    2267880                      0                      0                 474460                3761197                   199                      2266              2265415
108_epi    1261456                      0                      0                 307100                1450184                    94                      1340              1260022
109_ddr    2131063                      0                      0                 501030                2215035                   158                      1906              2128999
109_epi    1378780                      0                      0                 280483                1505782                   128                      1366              1377286
110_ddr    5916619                      0                      0                1292352                9716600                   535                      5606              5910478
110_epi    2608983                      0                      0                 943673                1930285                   207                      2320              2606456
111_ddr    4658522                      0                      0                1054274                3415312                   409                      3979              4654134
111_epi    4139110                      0                      0                 838287                3327466                   383                      3771              4134956
112_ddr     318434                      0                      0                  64672                 370368                    32                       357               318045
112_epi     350436                      0                      0                  96880                 266621                    44                       390               350002
113_ddr      17077                      0                      0                   6743                  27705                     1                        66                17010
113_epi    2727255                      0                      0                 675780                3291638                   259                      2338              2724658
114_ddr    1304624                      0                      0                 464560                1356746                    88                      1118              1303418
114_epi    1547365                      0                      0                 353114                1654242                   129                      1471              1545765
115_ddr    2372986                      0                      0                 553786                2758999                   213                      2243              2370530
115_epi    2606307                      0                      0                 946415                2876031                   219                      2262              2603826
116_ddr    1986248                      0                      0                 579260                2249384                   146                      1980              1984122
116_epi    1280418                      0                      0                 320122                1473652                    98                      1292              1279028
117_ddr    3186550                      0                      0                1123646                3964166                   291                      3202              3183057
117_epi    2421815                      0                      0                 853524                2572933                   181                      2237              2419397
118_ddr    7518900                      0                      0                2692192                9236011                   625                      6184              7512091
118_epi    3232709                      0                      0                 677057                2686968                   317                      3154              3229238
121_ddr    3814954                      0                      0                 877681                3029229                   350                      3298              3811306
121_epi    2793276                      0                      0                1008632                3558938                   231                      2742              2790303
122_ddr    6251129                      0                      0                1565874                7146259                   553                      5706              6244870
122_epi    3291083                      0                      0                 772381                3625869                   310                      2985              3287788
123_ddr    4838855                      0                      0                1027172                6032199                   475                      4596              4833784
123_epi    1927969                      0                      0                 463608                1545690                   180                      1630              1926159
124_ddr    2279170                      0                      0                 531988                3723919                   196                      2218              2276756
124_epi    1641774                      0                      0                 422060                1783810                   128                      1438              1640208
125_ddr    2572804                      0                      0                 510699                1858295                   231                      2309              2570264
125_epi    2998274                      0                      0                1049406                4513560                   245                      2513              2995516
126_ddr    4089067                      0                      0                 797850                5080157                   376                      3685              4085006
126_epi    2635860                      0                      0                 987839                4317291                   218                      2624              2633018
127_ddr    4236165                      0                      0                 938095                4545112                   407                      3472              4232286
127_epi    7837459                      0                      0                1757856               13393570                   719                      6600              7830140
128_ddr    4159586                      0                      0                1499856                3250856                   386                      3742              4155458
128_epi    2951363                      0                      0                1042475                3377670                   221                      2814              2948328
129_ddr    3398486                      0                      0                 855049                2655683                   279                      3031              3395176
129_epi    4651083                      0                      0                1206632                7631583                   377                      4304              4646402
130_ddr    3666431                      0                      0                1332544                2585139                   296                      3118              3663017
130_epi    2201989                      0                      0                 466005                2371600                   189                      1959              2199841
131_ddr    3814897                      0                      0                 831661                4415054                   353                      3252              3811292
131_epi    4765482                      0                      0                1187752                5125242                   441                      4007              4761034
