103_ddr 103_epi 104_ddr 104_epi 105_ddr 105_epi 106_ddr 106_epi 107_ddr 107_epi 108_ddr 108_epi 109_ddr 109_epi 110_ddr 110_epi 111_ddr 111_epi 114_ddr 114_epi 115_ddr 115_epi 116_ddr 116_epi 117_ddr 117_epi 118_ddr 118_epi 121_ddr 121_epi 122_ddr 122_epi 123_ddr 123_epi 124_ddr 124_epi 125_ddr 125_epi 126_ddr 126_epi 127_ddr 127_epi 128_ddr 128_epi 129_ddr 129_epi 130_ddr 130_epi 131_ddr 131_epi
103_ddr 0 0.0336322869955157 0.237668161434978 0.236547085201794 0.253363228699552 0.224215246636771 0.211883408071749 0.213004484304933 0.22085201793722 0.237668161434978 0.256726457399103 0.179372197309417 0.223094170403587 0.219730941704036 0.300448430493274 0.2152466367713 0.219730941704036 0.256726457399103 0.22085201793722 0.221973094170404 0.213004484304933 0.211883408071749 0.202914798206278 0.202914798206278 0.192825112107623 0.191704035874439 0.201793721973094 0.238789237668161 0.224215246636771 0.201793721973094 0.228699551569507 0.226457399103139 0.225336322869955 0.244394618834081 0.246636771300448 0.173766816143498 0.225336322869955 0.275784753363229 0.216367713004484 0.289237668161435 0.211883408071749 0.258968609865471 0.22085201793722 0.18609865470852 0.213004484304933 0.262331838565022 0.202914798206278 0.199551569506726 0.189461883408072 0.189461883408072
103_epi 0.0336322869955157 0 0.260089686098655 0.257847533632287 0.237668161434978 0.248878923766816 0.238789237668161 0.239910313901345 0.204035874439462 0.2152466367713 0.232062780269058 0.199551569506726 0.248878923766816 0.245515695067265 0.278026905829596 0.239910313901345 0.244394618834081 0.274663677130045 0.246636771300448 0.247757847533632 0.237668161434978 0.236547085201794 0.225336322869955 0.227578475336323 0.217488789237668 0.216367713004484 0.226457399103139 0.256726457399103 0.242152466367713 0.226457399103139 0.253363228699552 0.253363228699552 0.252242152466368 0.266816143497758 0.226457399103139 0.20067264573991 0.251121076233184 0.253363228699552 0.241031390134529 0.266816143497758 0.236547085201794 0.230941704035874 0.236547085201794 0.208520179372197 0.230941704035874 0.239910313901345 0.229820627802691 0.226457399103139 0.214125560538117 0.214125560538117
104_ddr 0.237668161434978 0.260089686098655 0 0.007847533632287 0.244394618834081 0.213004484304933 0.22085201793722 0.221973094170404 0.281390134529148 0.29372197309417 0.306053811659193 0.226457399103139 0.160313901345291 0.165919282511211 0.301569506726457 0.22085201793722 0.204035874439462 0.241031390134529 0.163677130044843 0.161434977578475 0.202914798206278 0.204035874439462 0.224215246636771 0.229820627802691 0.214125560538117 0.2152466367713 0.232062780269058 0.266816143497758 0.26457399103139 0.242152466367713 0.193946188340807 0.192825112107623 0.213004484304933 0.232062780269058 0.297085201793722 0.224215246636771 0.184977578475336 0.23542600896861 0.224215246636771 0.295964125560538 0.204035874439462 0.246636771300448 0.243273542600897 0.213004484304933 0.253363228699552 0.302690582959641 0.211883408071749 0.213004484304933 0.221973094170404 0.221973094170404
104_epi 0.236547085201794 0.257847533632287 0.007847533632287 0 0.243273542600897 0.214125560538117 0.22085201793722 0.221973094170404 0.27914798206278 0.29372197309417 0.303811659192825 0.226457399103139 0.15695067264574 0.162556053811659 0.301569506726457 0.218609865470852 0.20627802690583 0.243273542600897 0.160313901345291 0.158071748878924 0.202914798206278 0.204035874439462 0.221973094170404 0.227578475336323 0.213004484304933 0.211883408071749 0.229820627802691 0.26457399103139 0.266816143497758 0.242152466367713 0.190582959641256 0.191704035874439 0.2152466367713 0.232062780269058 0.297085201793722 0.224215246636771 0.184977578475336 0.23542600896861 0.223094170403587 0.294843049327354 0.204035874439462 0.246636771300448 0.243273542600897 0.213004484304933 0.253363228699552 0.302690582959641 0.214125560538117 0.213004484304933 0.219730941704036 0.219730941704036
105_ddr 0.253363228699552 0.237668161434978 0.244394618834081 0.243273542600897 0 0.031390134529148 0.189461883408072 0.190582959641256 0.237668161434978 0.247757847533632 0.253363228699552 0.238789237668161 0.242152466367713 0.241031390134529 0.207399103139013 0.184977578475336 0.190582959641256 0.229820627802691 0.242152466367713 0.245515695067265 0.191704035874439 0.192825112107623 0.247757847533632 0.246636771300448 0.238789237668161 0.237668161434978 0.254484304932735 0.291479820627803 0.294843049327354 0.266816143497758 0.256726457399103 0.257847533632287 0.201793721973094 0.22085201793722 0.252242152466368 0.239910313901345 0.236547085201794 0.227578475336323 0.214125560538117 0.225336322869955 0.192825112107623 0.180493273542601 0.26457399103139 0.233183856502242 0.269058295964126 0.255605381165919 0.193946188340807 0.192825112107623 0.232062780269058 0.232062780269058
105_epi 0.224215246636771 0.248878923766816 0.213004484304933 0.214125560538117 0.031390134529148 0 0.160313901345291 0.161434977578475 0.260089686098655 0.276905829596413 0.2847533632287 0.207399103139013 0.213004484304933 0.211883408071749 0.236547085201794 0.155829596412556 0.159192825112108 0.198430493273543 0.213004484304933 0.216367713004484 0.162556053811659 0.163677130044843 0.218609865470852 0.221973094170404 0.209641255605381 0.208520179372197 0.225336322869955 0.262331838565022 0.263452914798206 0.23542600896861 0.227578475336323 0.226457399103139 0.172645739910314 0.191704035874439 0.281390134529148 0.208520179372197 0.205156950672646 0.253363228699552 0.182735426008969 0.254484304932735 0.163677130044843 0.208520179372197 0.233183856502242 0.201793721973094 0.237668161434978 0.2847533632287 0.162556053811659 0.163677130044843 0.202914798206278 0.202914798206278
106_ddr 0.211883408071749 0.238789237668161 0.22085201793722 0.22085201793722 0.189461883408072 0.160313901345291 0 0.00112107623318386 0.255605381165919 0.272421524663677 0.286995515695067 0.209641255605381 0.207399103139013 0.205156950672646 0.266816143497758 0.183856502242152 0.168161434977578 0.207399103139013 0.20627802690583 0.209641255605381 0.154708520179372 0.153587443946188 0.233183856502242 0.237668161434978 0.210762331838565 0.209641255605381 0.210762331838565 0.247757847533632 0.261210762331839 0.234304932735426 0.221973094170404 0.22085201793722 0.184977578475336 0.204035874439462 0.269058295964126 0.196188340807175 0.209641255605381 0.261210762331839 0.188340807174888 0.261210762331839 0.153587443946188 0.20067264573991 0.236547085201794 0.202914798206278 0.23542600896861 0.282511210762332 0.158071748878924 0.155829596412556 0.209641255605381 0.208520179372197
106_epi 0.213004484304933 0.239910313901345 0.221973094170404 0.221973094170404 0.190582959641256 0.161434977578475 0.00112107623318386 0 0.256726457399103 0.273542600896861 0.288116591928251 0.210762331838565 0.208520179372197 0.20627802690583 0.267937219730942 0.184977578475336 0.168161434977578 0.207399103139013 0.207399103139013 0.210762331838565 0.155829596412556 0.154708520179372 0.234304932735426 0.238789237668161 0.211883408071749 0.210762331838565 0.211883408071749 0.248878923766816 0.262331838565022 0.23542600896861 0.223094170403587 0.221973094170404 0.18609865470852 0.205156950672646 0.270179372197309 0.197309417040359 0.210762331838565 0.262331838565022 0.189461883408072 0.262331838565022 0.154708520179372 0.201793721973094 0.237668161434978 0.204035874439462 0.236547085201794 0.283632286995516 0.159192825112108 0.15695067264574 0.210762331838565 0.209641255605381
107_ddr 0.22085201793722 0.204035874439462 0.281390134529148 0.27914798206278 0.237668161434978 0.260089686098655 0.255605381165919 0.256726457399103 0 0.047085201793722 0.189461883408072 0.208520179372197 0.272421524663677 0.273542600896861 0.245515695067265 0.256726457399103 0.266816143497758 0.303811659192825 0.274663677130045 0.273542600896861 0.25 0.251121076233184 0.227578475336323 0.230941704035874 0.224215246636771 0.223094170403587 0.233183856502242 0.270179372197309 0.290358744394619 0.265695067264574 0.270179372197309 0.270179372197309 0.273542600896861 0.292600896860987 0.196188340807175 0.213004484304933 0.271300448430493 0.242152466367713 0.270179372197309 0.256726457399103 0.251121076233184 0.227578475336323 0.245515695067265 0.2152466367713 0.239910313901345 0.197309417040359 0.245515695067265 0.244394618834081 0.210762331838565 0.211883408071749
107_epi 0.237668161434978 0.2152466367713 0.29372197309417 0.29372197309417 0.247757847533632 0.276905829596413 0.272421524663677 0.273542600896861 0.047085201793722 0 0.179372197309417 0.218609865470852 0.286995515695067 0.288116591928251 0.239910313901345 0.275784753363229 0.283632286995516 0.318385650224215 0.286995515695067 0.285874439461883 0.269058295964126 0.270179372197309 0.242152466367713 0.244394618834081 0.238789237668161 0.237668161434978 0.247757847533632 0.282511210762332 0.29932735426009 0.276905829596413 0.283632286995516 0.27914798206278 0.289237668161435 0.306053811659193 0.192825112107623 0.225336322869955 0.27914798206278 0.243273542600897 0.286995515695067 0.246636771300448 0.270179372197309 0.23542600896861 0.257847533632287 0.227578475336323 0.251121076233184 0.18609865470852 0.257847533632287 0.258968609865471 0.228699551569507 0.229820627802691
