sample	depth	sym	habitat	diam
101	7.9	C	LSG	19.5
103	16.2	C	IRS	10.5
104	16.5	C	IRS	9
105	9.8	C	LSG	11.5
106	7.0	C	LSG	17
107	12.5	C	IRS	11.5
108	7.0	NA	USG	10.5
109	14.6	C	IRS	10
110	14.0	C	IRS	14
111	7.9	C	USG	14
112	8.5	C	LSG	13
114	15.5	C	OR	9
115	1.2	C	BR	20
116	1.2	NA	BR	10
117	1.2	A	BR	13
118	0.6	C	MGR	7
121	0.6	C	MGR	7.5
122	0.6	C	MGR	6
123	0.8	C	BR	21
124	4.6	C	LAG	16.5
125	16.5	C	OR	10
126	17.4	C	OR	26
127	2.7	A	LAG	15
128	0.6	NA	BR	10
129	0.9	A	TRT	10.5
130	0.8	C	BR	17.5
131	0.5	A	TRT	10
